"운영팀> 2번 모니터> 앱 콘텐츠 내용 NO ","Key ","Korean ","English ","Japanese ","Chinese ","Vietnamese ","Indonesian ","Thai ","Russian ","Description ","","","","",""
"117","MarketPaper_Onnuri_Content_3_2","상품권 금액의 10% 할인가로 충전 가능! 최대 보유한도금액은 200만원입니다.","Recharge at a 10% discount! The maximum holding limit is 2 million won.","しょうひんけんの じゅっぱあせんと わりびきで ちゃあじ できる！ さいだい ほゆう げんどがくは にひゃくまんうぉんです。","可享受10%折扣充值！最大持有金额为200万韩元。","Nạp tiền với ưu đãi giảm giá 10%! Giới hạn nạp tối đa là 2 triệu won.","Isi ulang dengan diskon 10%! Batas isi ulang maksimal 2 juta won.","เติมเงินรับส่วนลด 10%! วงเงินสูงสุด 2 ล้านวอน","Пополните счет со скидкой 10%! Максимальный лимит пополнения — 2 миллиона вон.","","","","","",""
"117","MarketPaper_Onnuri_Content_3_3","※ 단, 예산소진 상황에 따라 특별판매 내용 및 기간이 변경될 수 있습니다.","※ Note: Special sale details and periods are subject to change depending on budget exhaustion.","※ ただし、よさんが なくなり しだい、とくべつ はんばいの ないようや きかんが かわる ことが あります。","※ 注：特别销售内容及期限可能会根据预算消耗情况有所变更。","※ Lưu ý: Chi tiết và thời gian khuyến mãi đặc biệt có thể thay đổi tùy thuộc vào ngân sách hiện có.","※ Catatan: Detail dan periode penjualan khusus dapat berubah tergantung pada ketersediaan anggaran.","※ หมายเหตุ: รายละเอียดและระยะเวลาของโปรโมชั่นพิเศษอาจมีการเปลี่ยนแปลงได้ ขึ้นอยู่กับงบประมาณที่มีอยู่","※ Примечание: Условия и сроки проведения специальных распродаж могут быть изменены в зависимости от исчерпания бюджета.","","","","","",""
"117","MarketPaper_Onnuri_Content_4","온누리상품권 사용처","Where to use Onnuri Gift Certificates","おんぬり しょうひんけんが つかえる ところ","稳楼里商品券使用处","Phiếu quà tặng Onnuri có thể được sử dụng ở đâu?","Di mana menggunakan Sertifikat Hadiah Onnuri?","สามารถใช้บัตรของขวัญ Onnuri ได้ที่ไหนบ้าง","Где использовать подарочные сертификаты Onnuri","","","","","",""
"117","MarketPaper_Onnuri_Content_4_1","온누리상품권 가맹점 스티커가 있는 곳에서 사용이 가능합니다.","Can be used at places with the Onnuri Gift Certificate affiliated store sticker.","おんぬり しょうひんけん かめいてん すてっかあが ある ところで つかえます。","可在贴有稳楼里商品券加盟店贴纸的地方使用。","Có thể sử dụng tại các cửa hàng có dán tem cửa hàng liên kết với chương trình Phiếu quà tặng Onnuri.","Dapat digunakan di tempat-tempat yang memiliki stiker toko afiliasi Sertifikat Hadiah Onnuri.","สามารถใช้ได้ที่ร้านค้าที่มีสติกเกอร์ร้านค้าพันธมิตรของ Onnuri Gift Certificate","Можно использовать в местах, где есть наклейка магазина-партнера подарочного сертификата Onnuri.","","","","","",""
"118","MarketPaper_Osaekjeon","오색전","Osaekjeon","オセクジョン","五色钱","Osaekjeon","Osaekjeon","โอแซกจอน","Осаекджон","","","","","",""
"118","MarketPaper_Osaekjeon_Content","오산화폐「오색전」","Osan Currency “Osaekjeon”
","オサン地域通貨「オセクジョン」","乌山市地域货币“五色钱","Tiền tệ Osan “Osaekjeon”

","Mata uang Osan “Osaekjeon”

","สกุลเงินโอซาน “โอแซกจอน”

(Osan Currency “Osaekjeon”)
","Валюта Осана «Осэкчжон»

","","","","","",""
"118","MarketPaper_Osaekjeon_Content_1","오산화폐 오색전이란?","What is Osaekjeon?","オセクジョンとは？","什么是五色钱？","Osaekjeon là gì?","Apa itu Osaekjeon?","โอแซกจอนคืออะไร?","Что такое Осаекджон?","","","","","",""
"118","MarketPaper_Osaekjeon_Content_1_1","<b>오산시 내에서만 사용할 수 있는 카드형 지역화폐 입니다.</b>
대형마트, 기업형 슈퍼마켓, 유흥업소, 사행성 업소, 오산에 주소지를 두고 있지 않은 프랜차이즈 직영점을 제외한 <b>관내 IC 카드 단말기를 사용하는 업소 어디에서나 사용 가능</b>합니다. 또한 경기지역화폐 APP과 연동하여 언제, 어디서나 편리하게 충전하고 잔액을 관리 할 수 있습니다.","<b>It is a card-type local currency that can only be used within Osan.</b>
Usable at any shop in Osan with an IC card terminal, except large supermarkets, corporate chains, entertainment venues, gambling businesses, and franchise headquarters outside Osan.
<b>Available anywhere in the city with an IC card terminal.</b>
Linked with the Gyeonggi Local Currency App for easy recharge and balance management anytime, anywhere.
","<b>オサン市内だけで使えるカード型の地域通貨です。</b>
大型マート、企業型スーパー、風俗・ギャンブル業種、オサンに住所を置かないフランチャイズ直営店を除き、
<b>市内のICカード端末を備えた店舗なら利用可能です。</b>
また「京畿地域通貨アプリ」と連携して、いつでもどこでもチャージや残高管理ができます。","<b>只能在乌山市内使用的卡片式地域货币。</b>
除大型超市、连锁超市、娱乐场所、博彩业、以及不在乌山市注册的连锁直营店外，
<b>可在市内所有安装IC刷卡机的商铺使用。</b>
并可与“京畿地域货币APP”联动，随时随地便捷充值与余额管理。
","<b>Đây là loại tiền tệ địa phương dạng thẻ, chỉ có thể sử dụng trong phạm vi thành phố Osan.</b>
Có thể sử dụng tại bất kỳ cửa hàng nào ở Osan có máy POS thẻ IC, ngoại trừ các siêu thị lớn, chuỗi cửa hàng, địa điểm giải trí, cơ sở kinh doanh cờ bạc và trụ sở nhượng quyền thương hiệu bên ngoài Osan.

<b>Có thể sử dụng ở bất cứ đâu trong thành phố có máy POS thẻ IC.</b>
Liên kết với ứng dụng Tiền tệ địa phương Gyeonggi để dễ dàng nạp tiền và quản lý số dư mọi lúc, mọi nơi.","<b>Ini adalah mata uang lokal berbentuk kartu yang hanya dapat digunakan di Osan.</b>
Dapat digunakan di toko mana pun di Osan yang memiliki terminal kartu IC, kecuali supermarket besar, jaringan perusahaan, tempat hiburan, bisnis perjudian, dan kantor pusat waralaba di luar Osan.

<b>Tersedia di mana saja di kota yang memiliki terminal kartu IC.</b>
Terhubung dengan Aplikasi Mata Uang Lokal Gyeonggi untuk pengisian ulang dan pengelolaan saldo yang mudah kapan saja, di mana saja.

","<b>เป็นเงินสกุลท้องถิ่นแบบบัตรที่ใช้ได้เฉพาะในเมืองโอซานเท่านั้น</b>
สามารถใช้ได้ที่ร้านค้าทุกแห่งในเมืองโอซานที่มีเครื่องรับบัตร IC ยกเว้นซูเปอร์มาร์เก็ตขนาดใหญ่ ร้านค้าเครือข่ายขนาดใหญ่ สถานบันเทิง ธุรกิจการพนัน และสำนักงานใหญ่แฟรนไชส์นอกเมืองโอซาน
<b>สามารถใช้ได้ทุกที่ในเมืองที่มีเครื่องรับบัตร IC</b>
เชื่อมต่อกับแอปพลิเคชัน Gyeonggi Local Currency เพื่อการเติมเงินและจัดการยอดคงเหลือได้ง่ายทุกที่ทุกเวลา

","<b>Это местная валюта в виде карты, которую можно использовать только в пределах Осана.</b>
Можно использовать в любом магазине Осана с терминалом для IC-карт, за исключением крупных супермаркетов, корпоративных сетей, развлекательных заведений, игорных заведений и франчайзинговых штаб-квартир за пределами Осана.

Доступно в любом месте города с терминалом для IC-карт.</b>
Связано с приложением Gyeonggi Local Currency для удобного пополнения счета и управления балансом в любое время и в любом месте.

","","","","","",""
"118","MarketPaper_Osaekjeon_Content_2","누구나 신청 가능 하나요?","Who can apply?","誰でも申請できますか？","谁可以申请？","Ai có thể đăng ký?","Siapa yang bisa mendaftar?","ใครสามารถสมัครได้บ้าง?","Кто может подать заявку?","","","","","",""
"118","MarketPaper_Osaekjeon_Content_2_1","<b>본인 명의의 은행계좌를 가지고 있는 만14세 이상이면 신청 가능합니다.</b>
오산 자금의 역외유출을 방지하여 우리 지역경제 활성화와 지역공동체 강화를 도모하는 오산시 지역화폐로, <b>거주지역에 상관없이 오산시에서 소비하고 추가 포인트
혜택 받고싶은 누구나 신청 가능합니다.</b>","<b>Anyone aged 14 or older with a bank account in their own name can apply.</b>
Osaekjeon prevents capital outflow and revitalizes Osan’s local economy.
<b>Anyone who wants to shop in Osan and enjoy extra point benefits can apply, regardless of residence.</b>","<b>本人名義の銀行口座を持つ満14歳以上なら申請可能です。</b>
オサン資金の流出を防ぎ、地域経済を活性化させます。
<b>居住地に関係なく、オサンで消費し追加ポイントを受けたい方なら誰でも申請できます。</b>","<b>年满14岁且拥有本人名下银行账户即可申请。</b>
防止资金外流，促进乌山市经济。
<b>无论居住地，凡想在乌山市消费并享受额外积分优惠的人都可申请。</b>
","Bất kỳ ai từ 14 tuổi trở lên có tài khoản ngân hàng đứng tên mình đều có thể đăng ký.
Chương trình Osaekjeon giúp ngăn chặn dòng vốn chảy ra nước ngoài và hồi sinh nền kinh tế địa phương của Osan.

Bất kỳ ai muốn mua sắm tại Osan và hưởng thêm điểm thưởng đều có thể đăng ký, bất kể nơi cư trú.","<b>Siapa pun yang berusia 14 tahun ke atas dan memiliki rekening bank atas nama sendiri dapat mengajukan permohonan.</b>
Osaekjeon mencegah arus keluar modal dan merevitalisasi ekonomi lokal Osan.

<b>Siapa pun yang ingin berbelanja di Osan dan menikmati manfaat poin tambahan dapat mengajukan permohonan, tanpa memandang tempat tinggal.</b>","<b>ผู้ที่มีอายุ 14 ปีขึ้นไปและมีบัญชีธนาคารในชื่อของตนเองสามารถสมัครได้</b>
โครงการโอแซกจอนช่วยป้องกันการไหลออกของเงินทุนและฟื้นฟูเศรษฐกิจท้องถิ่นของโอซาน
<b>ผู้ที่ต้องการซื้อสินค้าในโอซานและรับสิทธิประโยชน์คะแนนพิเศษสามารถสมัครได้ ไม่ว่าจะอาศัยอยู่ที่ใดก็ตาม</b>","<b>Заявку может подать любой человек в возрасте 14 лет и старше, имеющий банковский счет на свое имя.</b>
Программа Osaekjeon предотвращает отток капитала и оживляет местную экономику Осана.

<b>Заявку может подать любой желающий совершать покупки в Осане и получать дополнительные бонусные баллы, независимо от места жительства.</b>","","","","","",""
"118","MarketPaper_Osaekjeon_Content_2_2","신청방법은 <b>모바일앱(경기지역화폐APP)</b>또는 <b>관내 NH농협은행, 오산농협, 새마을금고, 새오산신협</b>에서 신청해주세요.","How to apply?
Apply via <b>mobile app (Gyeonggi Local Currency App)</b> or at <b>NH Nonghyup Bank (Osan), Osan Nonghyup, Saemaeul Geumgo, Sae-Osan Credit Union.</b>
","申請方法は？
<b>モバイルアプリ（京畿地域通貨アプリ）</b>または
<b>市内のNH農協銀行、オサン農協、セマウル金庫、新オサン信用組合</b>で申請できます。
","如何申请？
可通过<b>手机APP（京畿地域货币APP）</b>，
或到<b>NH农协银行（乌山市）、乌山农协、赛马尔金库、新乌山信用合作社</b>申请。
","Cách thức đăng ký?

Đăng ký qua <b>ứng dụng di động (Ứng dụng Tiền tệ Địa phương Gyeonggi)</b> hoặc tại <b>Ngân hàng NH Nonghyup (Osan), Osan Nonghyup, Saemaeul Geumgo, Liên minh Tín dụng Sae-Osan.</b>
","Bagaimana cara mendaftar?

Daftar melalui <b>aplikasi seluler (Aplikasi Mata Uang Lokal Gyeonggi)</b> atau di <b>Bank NH Nonghyup (Osan), Osan Nonghyup, Saemaeul Geumgo, Koperasi Kredit Sae-Osan.</b>

","วิธีการสมัคร?
สมัครผ่านแอปพลิเคชันมือถือ (แอปสกุลเงินท้องถิ่นคยองกี) หรือที่ธนาคาร NH Nonghyup (โอซาน), Osan Nonghyup, Saemaeul Geumgo, Sae-Osan Credit Union

","Как подать заявку?

Подайте заявку через <b>мобильное приложение (приложение для обмена местной валюты в Кёнги)</b> или в <b>NH Nonghyup Bank (Osan), Osan Nonghyup, Saemaeul Geumgo, Sae-Osan Credit Union</b>.

","","","","","",""
"118","MarketPaper_Osaekjeon_Content_3","지역화폐사용처","Where can I use it?","地域通貨の利用先","地方货币使用处","Tôi có thể sử dụng nó ở đâu?","Di mana saya bisa menggunakannya?","ฉันสามารถใช้มันได้ที่ไหน?","Где я могу это использовать?","","","","","",""
"118","MarketPaper_Osaekjeon_Content_3_1","백화점, 대형마트, 기업형슈퍼마켓(SSM), 프랜차이즈 직영점 및 유흥 사행업소는
사용이 제한되며 <b>연 매출 10억 이하인 소상공인 점포에서만 사용 가능</b>합니다.","Cannot be used at department stores, large marts, corporate supermarkets (SSM), franchise headquarters, or entertainment/gambling venues.
<b>Only valid at small businesses with annual sales under 1 billion KRW.</b>
","百貨店、大型マート、企業型スーパー（SSM）、フランチャイズ直営店、風俗・ギャンブル業種では使えません。
<b>年売上10億ウォン以下の小規模店舗でのみ利用可能です。</b>","百货商场、大型超市、连锁超市（SSM）、直营连锁店及娱乐场所/博彩业均不可使用。
<b>仅限年销售额10亿韩元以下的小商户使用。</b>","Không áp dụng tại các cửa hàng bách hóa, siêu thị lớn, siêu thị thuộc tập đoàn (SSM), trụ sở nhượng quyền thương mại hoặc các địa điểm giải trí/đánh bạc.

Chỉ có hiệu lực tại các doanh nghiệp nhỏ có doanh thu hàng năm dưới 1 tỷ KRW.</b>","Tidak dapat digunakan di department store, minimarket besar, supermarket korporat (SSM), kantor pusat waralaba, atau tempat hiburan/perjudian.

<b>Hanya berlaku di usaha kecil dengan penjualan tahunan di bawah 1 miliar KRW.</b>

","ไม่สามารถใช้ได้ที่ห้างสรรพสินค้า ร้านค้าปลีกขนาดใหญ่ ซูเปอร์มาร์เก็ตของบริษัท (SSM) สำนักงานใหญ่แฟรนไชส์ ​​หรือสถานบันเทิง/สถานที่เล่นการพนัน

ใช้ได้เฉพาะกับธุรกิจขนาดเล็กที่มียอดขายต่อปีต่ำกว่า 1 พันล้านวอนเท่านั้น","Не может быть использовано в универмагах, крупных супермаркетах, корпоративных супермаркетах, штаб-квартирах франчайзи или развлекательных/игорных заведениях.

<b>Действительно только для малых предприятий с годовым объемом продаж менее 1 миллиарда вон.</b>
","","","","","",""
"118","MarketPaper_Osaekjeon_Content_3_2","주유소 · 전통시장 · 골목상권 · 레저업소 (헬스클럽, 필라테스, 수영장, 골프연습장, 볼링장) 병·의원 (치과, 한의원 등) · 편의점 · 학원 (기능학원, 보습학원 등) ·보건위생 (안경, 미용원 등) 기타의료기관 (동물병원 등)","Examples: gas stations, traditional markets, local shops, leisure facilities (fitness clubs, pilates, swimming pools, golf ranges, bowling alleys), hospitals & clinics (dentists, oriental clinics, etc.), convenience stores, academies (tutoring, skills), eyewear shops, beauty salons, veterinary clinics, etc.","例: ガソリンスタンド、伝統市場、商店街、レジャー施設（ジム、ピラティス、水泳場、ゴルフ練習場、ボウリング場）、
病院・医院（歯科、韓医院など）、コンビニ、学園（補習・技能）、眼鏡店、美容院、動物病院など。
","例如: 加油站、传统市场、社区商店、休闲设施（健身房、普拉提、游泳馆、高尔夫练习场、保龄球馆）、
医院/诊所（牙科、韩医馆等）、便利店、培训机构、眼镜行、美容院、动物医院等。
","Ví dụ: trạm xăng, chợ truyền thống, cửa hàng địa phương, cơ sở giải trí (câu lạc bộ thể dục, pilates, bể bơi, sân golf, sân bowling), bệnh viện & phòng khám (nha sĩ, phòng khám Đông y, v.v.), cửa hàng tiện lợi, học viện (dạy kèm, dạy kỹ năng), cửa hàng kính mắt, thẩm mỹ viện, phòng khám thú y, v.v.","Contoh: pom bensin, pasar tradisional, toko lokal, fasilitas rekreasi (klub kebugaran, pilates, kolam renang, lapangan golf, arena bowling), rumah sakit & klinik (dokter gigi, klinik oriental, dll.), toko serba ada, akademi (bimbingan belajar, keterampilan), toko kacamata, salon kecantikan, klinik hewan, dll.","ตัวอย่างเช่น สถานีบริการน้ำมัน ตลาดแบบดั้งเดิม ร้านค้าท้องถิ่น สถานที่พักผ่อนหย่อนใจ (ฟิตเนสคลับ พิลาทิส สระว่ายน้ำ สนามกอล์ฟ สนามโบว์ลิ่ง) โรงพยาบาลและคลินิก (ทันตแพทย์ คลินิกแผนตะวันออก ฯลฯ) ร้านสะดวกซื้อ สถาบัน (ติวเตอร์ สอนทักษะ) ร้านแว่นตา ร้านเสริมสวย คลินิกสัตวแพทย์ ฯลฯ","Примеры: автозаправочные станции, традиционные рынки, местные магазины, развлекательные заведения (фитнес-клубы, пилатес, бассейны, поля для гольфа, боулинг), больницы и клиники (стоматологические клиники, клиники восточной медицины и т. д.), магазины товаров повседневного спроса, академии (репетиторство, обучение навыкам), магазины оптики, салоны красоты, ветеринарные клиники и т. д.","","","","","",""
"126","MarketPaper_SubHeader","오산시장에서 사용할 수 있는 시장화폐 입니다.","A market currency that can be used at Osan Market.","おさん いちばで つかえる いちばの おかねです。","这是可以在乌山市场使用的市场货币。","Một loại tiền tệ có thể sử dụng tại chợ Osan.","Mata uang pasar yang dapat digunakan di Pasar Osan.","สกุลเงินที่ใช้ได้ในตลาดโอซาน","Рыночная валюта, которую можно использовать на рынке Осан.","","","","","",""
"127","MarketPaper_ButtonText","준비중","Coming soon","準備中","敬请期待","Sắp ra mắt","Segera hadir","เร็วๆ นี้","Вскоре","","","","","",""
"128","Photo_HanbokTry","<AR 한복체험>  ","<AR Hanbok Try-On>","<AR 韓服 体験>","<AR 韩服 体验>","<AR Hanbok Try-On>","<AR Hanbok Try-On>","<AR Hanbok Try-On>","<Примерка ханбока AR>","","","","","",""
"129","Photo_HanbokSelect","한복/의상 선택하기","Choose Hanbok","韓服を選ぶ","选择韩服","Chọn Hanbok","Pilih Hanbok","เลือกฮันบก","Выберите ханбок","","","","","",""
"130","Photo_HanbokSelectContent","• 원하시는 의상을 고르고 선택 완료 버튼을 누른뒤 사진촬영 버튼을 눌러주세요 ","• Please choose your desired costume and press the ""Complete Selection"" button","• お好きな衣装を選んで「選択完了」ボタンを押してください","• 请选择您喜欢的服装，然后点击“完成选择”按钮","• Vui lòng chọn trang phục bạn muốn và nhấn nút ""Hoàn tất lựa chọn"".","• Silakan pilih kostum yang Anda inginkan dan tekan tombol ""Selesaikan Pilihan"".","• กรุณาเลือกชุดที่ต้องการแล้วกดปุ่ม ""เลือกชุดทั้งหมด""","• Пожалуйста, выберите желаемый костюм и нажмите кнопку «Завершить выбор».","","","","","",""
"17","Hanbok_1","여자 한복","W>Hanbok","女性用韓服","女式韩服","Hanbok","Hanbok","W>ฮันบก","Ханбок","","","","","",""
"18","Hanbok_2","여자 모델","M>Model        ","女性モデル","女性模特","M>Mô hình","M>Model","ม>โมเดล","М>Модель","","","","","",""
"19","Hanbok_3","남자 한복","W>Hanbok","男性用韓服","男式韩服","Hanbok","Hanbok","W>ฮันบก","Ханбок","","","","","",""
"20","Hanbok_4","남자 모델","M>Model        ","男性モデル","男性模特","M>Mô hình","M>Model","ม>โมเดล","М>Модель","","","","","",""
"21","Hanbok_5","글로벌 의상","World ","世界の衣装","世界服饰","Thế giới ","Dunia ","โลก ","Мир ","","","","","",""
"22","Hanbok_6","취사병 ","K-DRAMA","K-DRAMA","K-DRAMA","Phim truyền hình Hàn Quốc","K-DRAMA","ซีรีส์เกาหลี","Корейские дорамы","","","","","",""
"23","Hanbok_7","브랜드의상","Brand","ブランド","品牌","Thương hiệu","Merek","ยี่ห้อ","Бренд","","","","","",""
"24","Hanbok_8","이벤트","Event","イベント","活动","Sự kiện","Peristiwa","เหตุการณ์","Событие","","","","","",""
"25","Hanbok_9","Test9","EnTest9","JPTest9","CHTest9","EnTest9","EnTest9","เอ็นทีเอสทีเอส9","EnTest9","","","","","",""
"131","Photo_SelectConfirm","선택 완료","Complete Selection","選択完了","完成选择","Lựa chọn hoàn chỉnh","Pilihan Lengkap","การเลือกทั้งหมด","Полный выбор","","","","","",""
"132","Photo_TakePhoto","사진 촬영","Take Photo","写真を撮る","拍照","Chụp ảnh","Ambil Foto","ถ่ายรูป","Сделать фото","","","","","",""
"133","Photo_TakePhotoContent","• 사진촬영 버튼을 누르고 좌측 카메라에 얼굴을 바라봐주세요.  
   10초후 촬영이 시작됩니다. 결과물은 QR을 통해 핸드폰에 저장하세요   ","• Press the photo button and look into the left camera.
The photo will be taken in 10 seconds. The result will appear on both the left and front screens.","• 「写真を撮る」ボタンを押して、左側のカメラを見てください。
5秒後に撮影が始まります。写真は左と正面の画面に表示されます。","• 点击拍照按钮，然后看向左边的摄像头。
5秒后将开始拍照，结果将显示在左侧和前方的屏幕上。","• Nhấn nút chụp ảnh và nhìn vào camera bên trái.
Ảnh sẽ được chụp trong 10 giây. Kết quả sẽ hiển thị trên cả màn hình bên trái và màn hình phía trước.","• Tekan tombol foto dan lihat ke kamera sebelah kiri.
Foto akan diambil dalam 10 detik. Hasilnya akan muncul di layar kiri dan depan.","• กดปุ่มถ่ายภาพและมองไปที่กล้องด้านซ้าย
ภาพจะถูกถ่ายใน 10 วินาที ผลลัพธ์จะปรากฏบนหน้าจอทั้งด้านซ้ายและด้านหน้า","• Нажмите кнопку фотосъемки и посмотрите в левую камеру.
Фотография будет сделана через 10 секунд. Результат отобразится на левом и переднем экранах.","","","","","",""
"134","Photo_PrivacyPolicy","[개인정보활용동의]","[Consent to Use of Personal Information]","[個人情報利用同意]","[同意使用个人信息]","[Đồng ý cho phép sử dụng thông tin cá nhân]","[Persetujuan Penggunaan Informasi Pribadi]","[ความยินยอมในการใช้ข้อมูลส่วนบุคคล]","[Согласие на использование персональных данных]","","","","","",""
