"제주=데이터(공항상점리스트) ShopID ","NO ","ShopName_Kr Default","ShopName_En Default","ShopName_Jp Default","ShopName_Ch Default","ShopName_Vn Default","ShopName_Th Default","ShopName_Ru Default","ShopName_Id Default","BaseCategory_Kr Default","BaseCategory_En Default","BaseCategory_Jp Default","BaseCategory_Ch Default","BaseCategory_Vn Default","BaseCategory_Th Default","BaseCategory_Ru Default","BaseCategory_Id Default","Location_Kr Default","Location_En Default","Location_Jp Default","Location_Ch Default","Location_Vn Default","Location_Th Default","Location_Ru Default","Location_Id Default","OpeningHours_Kr Default","PhoneNumber_Kr Default","MainProduct_Kr Default","MainProduct_En Default","MainProduct_Jp Default","MainProduct_Ch Default","MainProduct_Vn Default","MainProduct_Th Default","MainProduct_Ru Default","MainProduct_Id Default"
"62","제주국제공항=국내선=62","특산품","Local Specialties","特産品","特产","Đặc sản địa phương","สินค้าพิเศษท้องถิ่น","Местные деликатесы и товары","Produk Khas Lokal","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:30","064-743-2111","제주 기념품","Jeju souvenirs","済州のお土産","济州纪念品","Quà lưu niệm Jeju","ของที่ระลึกเชจู","Сувениры Чеджу","Suvenir Jeju"
"63","제주국제공항=국내선=63","특산품","Local Specialties","特産品","特产","Đặc sản địa phương","สินค้าพิเศษท้องถิ่น","Местные деликатесы и товары","Produk Khas Lokal","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 21:00","064-743-2111","제주 기념품","Jeju souvenirs","済州のお土産","济州纪念品","Quà lưu niệm Jeju","ของที่ระลึกเชจู","Сувениры Чеджу","Suvenir Jeju"
"64","제주국제공항=국내선=64","티웨이항공","T'way Air","T'way Air","T'way Air","T'way Air","T'way Air","T'way Air","T'way Air","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-713-2520","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"65","제주국제공항=국내선=65","티웨이항공(발권카운터)","T'way Air (Ticketing Counter)","T'way Air （発券カウンター）","T'way Air （售票柜台）","T'way Air (Quầy vé)","T'way Air (เคาน์เตอร์ออกตั๋ว)","T'way Air (Касса)","T'way Air (Konter Tiket)","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-713-2520","항공권 구매","Air ticket purchase","航空券購入","购买机票","Mua vé máy bay","ซื้อตั๋วเครื่องบิน","Покупка авиабилетов","Pembelian tiket pesawat"
"66","제주국제공항=국내선=66","파라타항공","Parata Air","Parata Air","Parata Air","Parata Air","Parata Air","Parata Air","Parata Air","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","1800-8877","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"67","제주국제공항=국내선=67","파리바게트(2F)","Paris Baguette (2F)","Paris Baguette (2階)","Paris Baguette (2楼)","Paris Baguette (2F)","Paris Baguette (2F)","Paris Baguette (2F)","Paris Baguette (2F)","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:00","064-747-0742","커피, 에이드 등 음료 및 베이커리, 마음샌드","Coffee, ade and other beverages, bakery items, and Maeum Sand","コーヒー、エイドなどのドリンク、ベーカリー、マウムサンド","咖啡、果味饮料等饮品、烘焙食品及Maeum Sand","Cà phê, ade và các loại đồ uống khác, bánh nướng và Maeum Sand","กาแฟ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ เบเกอรี่ และ Maeum Sand","Кофе, фруктовые напитки и другие напитки, выпечка и Maeum Sand","Kopi, minuman ade dan minuman lainnya, produk bakery, dan Maeum Sand"
"68","제주국제공항=국내선=68","폴바셋","Paul Bassett","Paul Bassett","Paul Bassett","Paul Bassett","Paul Bassett","Paul Bassett","Paul Bassett","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 22:00","070-4119-4206","커피, 베이커리 등","Coffee, bakery items, etc.","コーヒー、ベーカリーなど","咖啡、烘焙食品等","Cà phê, bánh nướng, v.v.","กาแฟ เบเกอรี่ ฯลฯ","Кофе, выпечка и др.","Kopi, produk bakery, dll."
"69","제주국제공항=국내선=69","프랭크버거","Frank Burger","Frank Burger","Frank Burger","Frank Burger","Frank Burger","Frank Burger","Frank Burger","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","4F 일반","4F Public Area","4階 一般エリア","4楼 公共区域","Tầng 4 Khu công cộng","ชั้น 4 พื้นที่สาธารณะ","4-й этаж, общая зона","Lantai 4 Area Publik","07:00 ~ 21:00","064-744-3777","햄버거","Hamburgers","ハンバーガー","汉堡","Hamburger","แฮมเบอร์เกอร์","Бургеры","Hamburger"
"70","제주국제공항=국내선=70","플레이팅 4층(푸드코트)","Plating 4F (Food Court)","Plating 4階 （フードコート）","Plating 4楼 （美食广场）","Plating 4F (Khu ẩm thực)","Plating 4F (ศูนย์อาหาร)","Plating 4F (Фуд-корт)","Plating 4F (Pusat Kuliner)","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","4F 일반","4F Public Area","4階 一般エリア","4楼 公共区域","Tầng 4 Khu công cộng","ชั้น 4 พื้นที่สาธารณะ","4-й этаж, общая зона","Lantai 4 Area Publik","07:00 ~ 21:00","064-805-8152","제주 제육볶음 반상, 사골 장칼국수 반상 등","Jeju spicy stir-fried pork set, beef-bone spicy kalguksu set, etc.","済州式豚肉辛炒め定食、牛骨スープの辛いカルグクス定食など","济州辣炒猪肉套餐、牛骨酱汤刀切面套餐等","Set thịt heo xào cay Jeju, set mì kalguksu cay nước xương bò, v.v.","ชุดหมูผัดเผ็ดเชจู ชุดคัลกุกซูเผ็ดน้ำซุปกระดูกวัว ฯลฯ","Сет с острой жареной свининой по-чеджуски, сет с острым кальгуксу на говяжьем бульоне и др.","Set babi tumis pedas Jeju, set kalguksu pedas kuah tulang sapi, dll."
"71","제주국제공항=국내선=71","플레이팅(2층 푸드코트)","Plating (2F Food Court)","Plating (2階 Food Court)","Plating (2楼 Food Court)","Plating (2F Food Court)","Plating (2F Food Court)","Plating (2F Food Court)","Plating (2F Food Court)","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 22:00","064-749-9408","Food Court","Food Court","フードコート","美食广场","Khu ẩm thực","ศูนย์อาหาร","Фуд-корт","Pusat Kuliner"
"72","제주국제공항=국내선=72","화장실","Restroom","トイレ","洗手间","Nhà vệ sinh","ห้องน้ำ","Туалет","Toilet","화장실","Restroom","トイレ","洗手间","Nhà vệ sinh","ห้องน้ำ","Туалет","Toilet","","","","","","","","","","","","","","","","","",""
"73","제주국제공항=국제선=01","롯데면세점","LOTTE Duty Free","ロッテ免税店","乐天免税店","LOTTE Duty Free","LOTTE Duty Free","LOTTE Duty Free","LOTTE Duty Free","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 23:00","064-798-4000","화장품, 향수 등","Cosmetics, perfume, etc.","化粧品、香水など","化妆品、香水等","Mỹ phẩm, nước hoa, v.v.","เครื่องสำอาง น้ำหอม ฯลฯ","Косметика, парфюмерия и др.","Kosmetik, parfum, dll."
"74","제주국제공항=국제선=02","CU(출국)","CU (Departures)","CU （出国）","CU （出发区）","CU (Khu khởi hành)","CU (ขาออก)","CU (Вылет)","CU (Keberangkatan)","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 23:00","1577-8007","편의용품","Convenience goods","日用品","便利用品","Đồ tiện dụng","ของใช้จำเป็น","Товары повседневного спроса","Barang kebutuhan sehari-hari"
"75","제주국제공항=국제선=03","CU(3F)","CU (3F)","CU (3階)","CU (3楼)","CU (3F)","CU (3F)","CU (3F)","CU (3F)","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:30 ~ 21:30","1577-8007","편의용품","Convenience goods","日用品","便利用品","Đồ tiện dụng","ของใช้จำเป็น","Товары повседневного спроса","Barang kebutuhan sehari-hari"
"76","제주국제공항=국제선=04","글로벌텍스프리","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 23:00","064-745-2662","환급","Refund","還付","退税·退款","Hoàn tiền","คืนเงิน","Возврат средств","Pengembalian dana"
"77","제주국제공항=국제선=05","글로벌텍스프리","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","Global Tax Free","안내・관광・호텔","Information·Tourism·Hotel","案内／観光／ホテル","咨询·旅游·酒店","Thông tin·Du lịch·Khách sạn","ข้อมูล·ท่องเที่ยว·โรงแรม","Информация·Туризм·Отель","Informasi·Pariwisata·Hotel","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","04:00 ~ 23:59","064-745-2662","세금환급","Tax refund","税金還付","退税","Hoàn thuế","คืนภาษี","Возврат налога","Pengembalian pajak"
"78","제주국제공항=국제선=06","디자인스킨","DESIGN SKIN","DESIGN SKIN","DESIGN SKIN","DESIGN SKIN","DESIGN SKIN","DESIGN SKIN","DESIGN SKIN","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 21:00","064-744-3139","핸드폰 케이스 및 액세서리","Phone cases and accessories","スマートフォンケース·アクセサリー","手机壳及配件","Ốp điện thoại và phụ kiện","เคสโทรศัพท์และอุปกรณ์เสริม","Чехлы для телефонов и аксессуары","Casing ponsel dan aksesori"
"79","제주국제공항=국제선=07","띠아모","Tiamo","Tiamo","Tiamo","Tiamo","Tiamo","Tiamo","Tiamo","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 23:00","064-748-2929","젤라또 아이스크림","Gelato ice cream","ジェラートアイス","意式冰淇淋","Kem gelato","ไอศกรีมเจลาโต","Мороженое джелато","Es krim gelato"
"80","제주국제공항=국제선=08","롯데관광개발","Lotte Tour Development","Lotte Tour Development","Lotte Tour Development","Lotte Tour Development","Lotte Tour Development","Lotte Tour Development","Lotte Tour Development","안내・관광・호텔","Information·Tourism·Hotel","案内／観光／ホテル","咨询·旅游·酒店","Thông tin·Du lịch·Khách sạn","ข้อมูล·ท่องเที่ยว·โรงแรม","Информация·Туризм·Отель","Informasi·Pariwisata·Hotel","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","06:00 ~ 23:00","064-798-4000","예약 손님 등 안내","Assistance for guests with reservations and other inquiries","予約客などの案内","为预约客人等提供咨询服务","Hướng dẫn khách đã đặt chỗ và các hỗ trợ khác","ให้คำแนะนำสำหรับลูกค้าที่จองไว้และบริการอื่น ๆ","Помощь гостям с бронированием и другие консультации","Bantuan untuk tamu dengan reservasi dan informasi lainnya"
"81","제주국제공항=국제선=09","롯데면세점(2영업장)","LOTTE Duty Free (Store 2)","LOTTE Duty Free （第2売場）","LOTTE Duty Free （2号营业区）","LOTTE Duty Free (Khu bán hàng 2)","LOTTE Duty Free (พื้นที่ขาย 2)","LOTTE Duty Free (Торговая зона 2)","LOTTE Duty Free (Area Penjualan 2)","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 23:00","064-798-4000","화장품, 향수 등","Cosmetics, perfume, etc.","化粧品、香水など","化妆品、香水等","Mỹ phẩm, nước hoa, v.v.","เครื่องสำอาง น้ำหอม ฯลฯ","Косметика, парфюмерия и др.","Kosmetik, parfum, dll."
"82","제주국제공항=국제선=10","면세품 인도장","Duty-Free Pickup Counter","免税品受取カウンター","免税品提货处","Quầy nhận hàng miễn thuế","เคาน์เตอร์รับสินค้าปลอดภาษี","Стойка выдачи товаров Duty Free","Konter Pengambilan Barang Bebas Bea","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","04:00 ~ 23:00","064-747-0031, 064-747-0163","-","-","-","-","-","-","-","-"
"83","제주국제공항=국제선=11","빌라드샬롯","Villa de Charlotte","Villa de Charlotte","Villa de Charlotte","Villa de Charlotte","Villa de Charlotte","Villa de Charlotte","Villa de Charlotte","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 21:00","064-746-1749","커피, 주스, 에이드 등 음료 및 디저트","Coffee, juice, ade and other beverages, and desserts","コーヒー、ジュース、エイドなどのドリンク、デザート","咖啡、果汁、果味饮料等饮品及甜点","Cà phê, nước ép, ade và các loại đồ uống khác, món tráng miệng","กาแฟ น้ำผลไม้ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ รวมถึงของหวาน","Кофе, соки, фруктовые и другие напитки, десерты","Kopi, jus, minuman ade dan minuman lainnya, serta hidangan penutup"
"84","제주국제공항=국제선=12","수하물보관소","Baggage Storage","手荷物預かり所","行李寄存处","Nơi giữ hành lý","ที่รับฝากสัมภาระ","Камера хранения багажа","Penitipan Bagasi","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","06:00 ~ 22:00","010-3968-8215","수화물 보관 서비스 등","Baggage storage services, etc.","手荷物預かりサービスなど","行李寄存服务等","Dịch vụ giữ hành lý, v.v.","บริการรับฝากสัมภาระ ฯลฯ","Услуги хранения багажа и др.","Layanan penitipan bagasi, dll."
"85","제주국제공항=국제선=13","신한은행(환전)","Shinhan Bank (Currency Exchange)","新韓銀行（両替）","新韩银行（货币兑换）","Ngân hàng Shinhan (Đổi tiền)","ธนาคารชินฮัน (แลกเปลี่ยนเงินตรา)","Банк Shinhan (обмен валют)","Shinhan Bank (Penukaran Mata Uang)","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","09:00~16:00","064-747-3825","입출금, 환전 등","Deposits, withdrawals, currency exchange, etc.","入出金、両替など","存取款、货币兑换等","Gửi·rút tiền, đổi ngoại tệ, v.v.","ฝาก-ถอนเงิน แลกเปลี่ยนเงินตรา ฯลฯ","Внесение и снятие средств, обмен валют и др.","Setor·tarik tunai, penukaran mata uang, dll."
"86","제주국제공항=국제선=14","아시안쿡","Asian Cook","Asian Cook","Asian Cook","Asian Cook","Asian Cook","Asian Cook","Asian Cook","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:30 ~ 22:00","064-749-9409","Food Court","Food Court","フードコート","美食广场","Khu ẩm thực","ศูนย์อาหาร","Фуд-корт","Pusat Kuliner"
"87","제주국제공항=국제선=15","아워당","Ourdang","Ourdang","Ourdang","Ourdang","Ourdang","Ourdang","Ourdang","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 21:30","064-749-7110","커피, 베이커리 등","Coffee, bakery items, etc.","コーヒー、ベーカリーなど","咖啡、烘焙食品等","Cà phê, bánh nướng, v.v.","กาแฟ เบเกอรี่ ฯลฯ","Кофе, выпечка и др.","Kopi, produk bakery, dll."
"88","제주국제공항=국제선=16","업타운","Uptown","Uptown","Uptown","Uptown","Uptown","Uptown","Uptown","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 22:00","064-749-7110","커피, 베이커리 등","Coffee, bakery items, etc.","コーヒー、ベーカリーなど","咖啡、烘焙食品等","Cà phê, bánh nướng, v.v.","กาแฟ เบเกอรี่ ฯลฯ","Кофе, выпечка и др.","Kopi, produk bakery, dll."
"89","제주국제공항=국제선=17","우무","Umu","Umu","Umu","Umu","Umu","Umu","Umu","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","08:00 ~ 20:30","010-2691-0064","푸딩","Pudding","プリン","布丁","Pudding","พุดดิ้ง","Пудинг","Puding"
"90","제주국제공항=국제선=18","유실물관리센터","Lost and Found Center","遺失物管理センター","失物招领中心","Trung tâm đồ thất lạc","ศูนย์ของหาย","Бюро находок","Pusat Barang Hilang","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 22:00","064-797-2521~2","유실물 센터","Lost and Found Center","遺失物センター","失物招领中心","Trung tâm đồ thất lạc","ศูนย์ของหาย","Бюро находок","Pusat Barang Hilang"
"91","제주국제공항=국제선=19","인생네컷","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","05:00 ~ 23:30","1833-7970","즉석포토","Instant photo","インスタントフォト","即时拍照","Ảnh lấy ngay","ถ่ายภาพด่วน","Мгновенное фото","Foto instan"
"92","제주국제공항=국제선=20","제주국제공항의원","Jeju International Airport Clinic","済州国際空港クリニック","济州国际机场诊所","Phòng khám Sân bay Quốc tế Jeju","คลินิกสนามบินนานาชาติเชจู","Медпункт международного аэропорта Чеджу","Klinik Bandara Internasional Jeju","의료","Medical","医療","医疗","Y tế","การแพทย์","Медицина","Medis","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 22:00","064-797-2595","Medical Care","Medical Care","医療サービス","医疗服务","Chăm sóc y tế","บริการทางการแพทย์","Медицинская помощь","Layanan Medis"
"93","제주국제공항=국제선=21","제주은행(환전소)","Jeju Bank (Currency Exchange)","済州銀行（両替）","济州银行（货币兑换）","Ngân hàng Jeju (Đổi tiền)","ธนาคารเชจู (แลกเปลี่ยนเงินตรา)","Банк Чеджу (обмен валют)","Jeju Bank (Penukaran Mata Uang)","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","1F 면세","1F Duty-Free Area","1階 免税エリア","1楼 免税区","Tầng 1 Khu miễn thuế","ชั้น 1 พื้นที่ปลอดภาษี","1-й этаж, зона Duty Free","Lantai 1 Area Bebas Bea","06:00 ~ 23:00","064-746-0607","환전","Currency exchange","両替","货币兑换","Đổi ngoại tệ","แลกเปลี่ยนเงินตรา","Обмен валют","Penukaran mata uang"
"94","제주국제공항=국제선=22","제주은행(환전소)","Jeju Bank (Currency Exchange)","済州銀行（両替）","济州银行（货币兑换）","Ngân hàng Jeju (Đổi tiền)","ธนาคารเชจู (แลกเปลี่ยนเงินตรา)","Банк Чеджу (обмен валют)","Jeju Bank (Penukaran Mata Uang)","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","09:00 ~ 16:00","064-746-0607","입출금, 환전 등","Deposits, withdrawals, currency exchange, etc.","入出金、両替など","存取款、货币兑换等","Gửi·rút tiền, đổi ngoại tệ, v.v.","ฝาก-ถอนเงิน แลกเปลี่ยนเงินตรา ฯลฯ","Внесение и снятие средств, обмен валют и др.","Setor·tarik tunai, penukaran mata uang, dll."
"95","제주국제공항=국제선=23","제주은행(환전소)","Jeju Bank (Currency Exchange)","済州銀行（両替）","济州银行（货币兑换）","Ngân hàng Jeju (Đổi tiền)","ธนาคารเชจู (แลกเปลี่ยนเงินตรา)","Банк Чеджу (обмен валют)","Jeju Bank (Penukaran Mata Uang)","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","3F 면세","3F Duty-Free Area","3階 免税エリア","3楼 免税区","Tầng 3 Khu miễn thuế","ชั้น 3 พื้นที่ปลอดภาษี","3-й этаж, зона Duty Free","Lantai 3 Area Bebas Bea","06:00 ~ 23:00","064-746-0607","환전","Currency exchange","両替","货币兑换","Đổi ngoại tệ","แลกเปลี่ยนเงินตรา","Обмен валют","Penukaran mata uang"
